head	relation	tail	pathway
Ghrh	LRinteraction	Ghrhr	GHRH
Gnrh1	LRinteraction	Gnrhr	GNRH
Grn	LRinteraction	Sort1	GRN
Guca2a	LRinteraction	Gucy2c	GUCA
Guca2b	LRinteraction	Gucy2c	GUCA
Iapp	LRinteraction	Calcr	CALCR
Iapp	LRinteraction	Calcrl	CALCR
Insl3	LRinteraction	Rxfp2	RLN
Insl3	LRinteraction	Rxfp1	RLN
Insl3	LRinteraction	Rxfp4	RLN
Insl3	LRinteraction	Rxfp3	RLN
Insl5	LRinteraction	Rxfp4	RLN
Insl5	LRinteraction	Rxfp3	RLN
Insl5	LRinteraction	Rxfp2	RLN
Insl5	LRinteraction	Rxfp1	RLN
Lep	LRinteraction	Lepr	LEP
Lgals9	LRinteraction	Cd45	GALECTIN
Lgals9	LRinteraction	Ighm	GALECTIN
Nps	LRinteraction	Npsr1	NPS
Npvf	LRinteraction	Npffr1	NPVF
Npvf	LRinteraction	Npffr2	NPVF
Ostn	LRinteraction	Npr3	OSTN
Pmch	LRinteraction	Mertk	PMCH
Pros1	LRinteraction	Axl	PROS
Pros1	LRinteraction	Tyro3	PROS
Psap	LRinteraction	Gpr37l1	PSAP
Psap	LRinteraction	Gpr37	PSAP
Pth	LRinteraction	Pth1r	PTH
Pth	LRinteraction	Pth2r	PTH
Pth2	LRinteraction	Pth1r	PTH
Pth2	LRinteraction	Pth2r	PTH
Pthlh	LRinteraction	Pth1r	PTH
Qrfp	LRinteraction	Qrfpr	QRFP
Rarres2	LRinteraction	Gpr1	CHEMERIN
Rarres2	LRinteraction	Cmklr1	CHEMERIN
Rln1	LRinteraction	Rxfp2	RLN
Rln1	LRinteraction	Rxfp1	RLN
Rln1	LRinteraction	Rxfp3	RLN
Rln1	LRinteraction	Rxfp4	RLN
Rln3	LRinteraction	Rxfp3	RLN
Rln3	LRinteraction	Rxfp1	RLN
Rln3	LRinteraction	Rxfp4	RLN
Rln3	LRinteraction	Rxfp2	RLN
Saa2	LRinteraction	Fpr2	SAA
Scgb3a2	LRinteraction	Marco	UGRP1
Sct	LRinteraction	Sctr	SCT
Slurp1	LRinteraction	Chrnb1	SLURP
Slurp1	LRinteraction	Chrnb2	SLURP
Slurp1	LRinteraction	Chrnb3	SLURP
Slurp1	LRinteraction	Chrnb4	SLURP
Slurp1	LRinteraction	Chrna1	SLURP
Slurp1	LRinteraction	Chrna2	SLURP
Slurp1	LRinteraction	Chrna3	SLURP
Slurp1	LRinteraction	Chrna4	SLURP
Slurp1	LRinteraction	Chrna5	SLURP
Slurp1	LRinteraction	Chrna6	SLURP
Slurp1	LRinteraction	Chrna9	SLURP
Slurp1	LRinteraction	Chrna10	SLURP
Slurp1	LRinteraction	Chrnd	SLURP
Slurp1	LRinteraction	Chrne	SLURP
Slurp1	LRinteraction	Chrng	SLURP
Slurp1	LRinteraction	Chrna7	SLURP
Slurp2	LRinteraction	Chrnb1	SLURP
Slurp2	LRinteraction	Chrnb2	SLURP
Slurp2	LRinteraction	Chrnb3	SLURP
Slurp2	LRinteraction	Chrnb4	SLURP
Slurp2	LRinteraction	Chrna1	SLURP
Slurp2	LRinteraction	Chrna2	SLURP
Slurp2	LRinteraction	Chrna3	SLURP
Slurp2	LRinteraction	Chrna4	SLURP
Slurp2	LRinteraction	Chrna5	SLURP
Slurp2	LRinteraction	Chrna6	SLURP
Slurp2	LRinteraction	Chrna7	SLURP
Slurp2	LRinteraction	Chrna9	SLURP
Slurp2	LRinteraction	Chrna10	SLURP
Slurp2	LRinteraction	Chrnd	SLURP
Slurp2	LRinteraction	Chrne	SLURP
Slurp2	LRinteraction	Chrng	SLURP
Btla	LRinteraction	Tnfrsf14	BTLA
Trh	LRinteraction	Trhr	TRH
Trh	LRinteraction	Trhr2	TRH
Ucn	LRinteraction	Crhr1	UCN
Ucn	LRinteraction	Crhr2	UCN
Ucn2	LRinteraction	Crhr1	UCN
Ucn2	LRinteraction	Crhr2	UCN
Ucn3	LRinteraction	Crhr1	UCN
Ucn3	LRinteraction	Crhr2	UCN
Uts2b	LRinteraction	Uts2r	UROTENSIN
Uts2b	LRinteraction	Sstr5	UROTENSIN
Bag6	LRinteraction	Ncr3-ps	BAG
Lgals9	LRinteraction	Havcr2	GALECTIN
Lgals9	LRinteraction	Cd44	GALECTIN
Col1a1	LRinteraction	Itga1	COLLAGEN
Col1a1	LRinteraction	Itgb1	COLLAGEN
Col1a2	LRinteraction	Itga1	COLLAGEN
Col1a2	LRinteraction	Itgb1	COLLAGEN
Col2a1	LRinteraction	Itga1	COLLAGEN
Col2a1	LRinteraction	Itgb1	COLLAGEN
Col4a1	LRinteraction	Itga1	COLLAGEN
Col4a1	LRinteraction	Itgb1	COLLAGEN
Col4a2	LRinteraction	Itga1	COLLAGEN
Col4a2	LRinteraction	Itgb1	COLLAGEN
Col4a3	LRinteraction	Itga1	COLLAGEN
Col4a3	LRinteraction	Itgb1	COLLAGEN
Col4a4	LRinteraction	Itga1	COLLAGEN
Col4a4	LRinteraction	Itgb1	COLLAGEN
Col4a5	LRinteraction	Itga1	COLLAGEN
Col4a5	LRinteraction	Itgb1	COLLAGEN
Col4a6	LRinteraction	Itga1	COLLAGEN
Col4a6	LRinteraction	Itgb1	COLLAGEN
Col6a1	LRinteraction	Itga1	COLLAGEN
Col6a1	LRinteraction	Itgb1	COLLAGEN
Col6a2	LRinteraction	Itga1	COLLAGEN
Col6a2	LRinteraction	Itgb1	COLLAGEN
Col6a3	LRinteraction	Itga1	COLLAGEN
Col6a3	LRinteraction	Itgb1	COLLAGEN
Col6a4	LRinteraction	Itga1	COLLAGEN
Col6a4	LRinteraction	Itgb1	COLLAGEN
Col6a5	LRinteraction	Itga1	COLLAGEN
Col6a5	LRinteraction	Itgb1	COLLAGEN
Col6a6	LRinteraction	Itga1	COLLAGEN
Col6a6	LRinteraction	Itgb1	COLLAGEN
Col9a1	LRinteraction	Itga1	COLLAGEN
Col9a1	LRinteraction	Itgb1	COLLAGEN
Col9a2	LRinteraction	Itga1	COLLAGEN
Col9a2	LRinteraction	Itgb1	COLLAGEN
Col9a3	LRinteraction	Itga1	COLLAGEN
Col9a3	LRinteraction	Itgb1	COLLAGEN
Col1a1	LRinteraction	Itga2	COLLAGEN
Col1a2	LRinteraction	Itga2	COLLAGEN
Col2a1	LRinteraction	Itga2	COLLAGEN
Col4a1	LRinteraction	Itga2	COLLAGEN
Col4a2	LRinteraction	Itga2	COLLAGEN
Col4a3	LRinteraction	Itga2	COLLAGEN
Col4a4	LRinteraction	Itga2	COLLAGEN
Col4a5	LRinteraction	Itga2	COLLAGEN
Col4a6	LRinteraction	Itga2	COLLAGEN
Col6a1	LRinteraction	Itga2	COLLAGEN
Col6a2	LRinteraction	Itga2	COLLAGEN
Col6a3	LRinteraction	Itga2	COLLAGEN
Col6a4	LRinteraction	Itga2	COLLAGEN
Col6a5	LRinteraction	Itga2	COLLAGEN
Col6a6	LRinteraction	Itga2	COLLAGEN
Col9a1	LRinteraction	Itga2	COLLAGEN
Col9a2	LRinteraction	Itga2	COLLAGEN
Col9a3	LRinteraction	Itga2	COLLAGEN
Fn1	LRinteraction	Itga3	FN1
Fn1	LRinteraction	Itgb1	FN1
Fn1	LRinteraction	Itga4	FN1
Fn1	LRinteraction	Itga5	FN1
Fn1	LRinteraction	Itga8	FN1
Lama1	LRinteraction	Itga1	LAMININ
Lama1	LRinteraction	Itgb1	LAMININ
Lama2	LRinteraction	Itga1	LAMININ
Lama2	LRinteraction	Itgb1	LAMININ
Lama3	LRinteraction	Itga1	LAMININ
Lama3	LRinteraction	Itgb1	LAMININ
Lama4	LRinteraction	Itga1	LAMININ
Lama4	LRinteraction	Itgb1	LAMININ
Lama5	LRinteraction	Itga1	LAMININ
Lama5	LRinteraction	Itgb1	LAMININ
Lamb1	LRinteraction	Itga1	LAMININ
Lamb1	LRinteraction	Itgb1	LAMININ
Lamb2	LRinteraction	Itga1	LAMININ
Lamb2	LRinteraction	Itgb1	LAMININ
Lamb3	LRinteraction	Itga1	LAMININ
Lamb3	LRinteraction	Itgb1	LAMININ
Lamc1	LRinteraction	Itga1	LAMININ
Lamc1	LRinteraction	Itgb1	LAMININ
Lamc2	LRinteraction	Itga1	LAMININ
Lamc2	LRinteraction	Itgb1	LAMININ
Lamc3	LRinteraction	Itga1	LAMININ
Lamc3	LRinteraction	Itgb1	LAMININ
Lama1	LRinteraction	Itga2	LAMININ
Lama2	LRinteraction	Itga2	LAMININ
Lama3	LRinteraction	Itga2	LAMININ
Lama4	LRinteraction	Itga2	LAMININ
Lama5	LRinteraction	Itga2	LAMININ
Lamb1	LRinteraction	Itga2	LAMININ
Lamb2	LRinteraction	Itga2	LAMININ
Lamb3	LRinteraction	Itga2	LAMININ
Lamc1	LRinteraction	Itga2	LAMININ
Lamc2	LRinteraction	Itga2	LAMININ
Lamc3	LRinteraction	Itga2	LAMININ
Chad	LRinteraction	Itga2	CHAD
Chad	LRinteraction	Itgb1	CHAD
Lama1	LRinteraction	Itga3	LAMININ
Lama2	LRinteraction	Itga3	LAMININ
Lama3	LRinteraction	Itga3	LAMININ
Lama4	LRinteraction	Itga3	LAMININ
Lama5	LRinteraction	Itga3	LAMININ
Lamb1	LRinteraction	Itga3	LAMININ
Lamb2	LRinteraction	Itga3	LAMININ
Lamb3	LRinteraction	Itga3	LAMININ
Lamc1	LRinteraction	Itga3	LAMININ
Lamc2	LRinteraction	Itga3	LAMININ
Lamc3	LRinteraction	Itga3	LAMININ
Reln	LRinteraction	Itga3	RELN
Reln	LRinteraction	Itgb1	RELN
Thbs1	LRinteraction	Itga3	THBS
Thbs1	LRinteraction	Itgb1	THBS
Thbs2	LRinteraction	Itga3	THBS
Thbs2	LRinteraction	Itgb1	THBS
Thbs3	LRinteraction	Itga3	THBS
Thbs3	LRinteraction	Itgb1	THBS
Thbs4	LRinteraction	Itga3	THBS
Thbs4	LRinteraction	Itgb1	THBS
Comp	LRinteraction	Itga3	THBS
Comp	LRinteraction	Itgb1	THBS
Col1a1	LRinteraction	Itga3	COLLAGEN
Col1a2	LRinteraction	Itga3	COLLAGEN
Col2a1	LRinteraction	Itga3	COLLAGEN
Col4a1	LRinteraction	Itga3	COLLAGEN
Col4a2	LRinteraction	Itga3	COLLAGEN
Col4a3	LRinteraction	Itga3	COLLAGEN
Col4a4	LRinteraction	Itga3	COLLAGEN
Col4a5	LRinteraction	Itga3	COLLAGEN
Col4a6	LRinteraction	Itga3	COLLAGEN
Col6a1	LRinteraction	Itga3	COLLAGEN
Col6a2	LRinteraction	Itga3	COLLAGEN
Col6a3	LRinteraction	Itga3	COLLAGEN
Col6a4	LRinteraction	Itga3	COLLAGEN
Col6a5	LRinteraction	Itga3	COLLAGEN
Col6a6	LRinteraction	Itga3	COLLAGEN
Col9a1	LRinteraction	Itga3	COLLAGEN
Col9a2	LRinteraction	Itga3	COLLAGEN
Col9a3	LRinteraction	Itga3	COLLAGEN
Lama1	LRinteraction	Itga6	LAMININ
Lama2	LRinteraction	Itga6	LAMININ
Lama3	LRinteraction	Itga6	LAMININ
Lama4	LRinteraction	Itga6	LAMININ
Lama5	LRinteraction	Itga6	LAMININ
Lamb1	LRinteraction	Itga6	LAMININ
Lamb2	LRinteraction	Itga6	LAMININ
Lamb3	LRinteraction	Itga6	LAMININ
Lamc1	LRinteraction	Itga6	LAMININ
Lamc2	LRinteraction	Itga6	LAMININ
Lamc3	LRinteraction	Itga6	LAMININ
Lama1	LRinteraction	Itga7	LAMININ
Lama2	LRinteraction	Itga7	LAMININ
Lama3	LRinteraction	Itga7	LAMININ
Lama4	LRinteraction	Itga7	LAMININ
Lama5	LRinteraction	Itga7	LAMININ
Lamb1	LRinteraction	Itga7	LAMININ
Lamb2	LRinteraction	Itga7	LAMININ
Lamb3	LRinteraction	Itga7	LAMININ
Lamc1	LRinteraction	Itga7	LAMININ
Lamc2	LRinteraction	Itga7	LAMININ
Lamc3	LRinteraction	Itga7	LAMININ
Vtn	LRinteraction	Itga8	VTN
Vtn	LRinteraction	Itgb1	VTN
Tnc	LRinteraction	Itga8	TENASCIN
Tnc	LRinteraction	Itgb1	TENASCIN
Tnr	LRinteraction	Itga8	TENASCIN
Tnr	LRinteraction	Itgb1	TENASCIN
Tnn	LRinteraction	Itga8	TENASCIN
Tnn	LRinteraction	Itgb1	TENASCIN
Tnxb	LRinteraction	Itga8	TENASCIN
Tnxb	LRinteraction	Itgb1	TENASCIN
Npnt1	LRinteraction	Itga8	NPNT
Npnt1	LRinteraction	Itgb1	NPNT
Npnt2	LRinteraction	Itga8	NPNT
Npnt2	LRinteraction	Itgb1	NPNT
Tnc	LRinteraction	Itga9	TENASCIN
Tnr	LRinteraction	Itga9	TENASCIN
Tnn	LRinteraction	Itga9	TENASCIN
Tnxb	LRinteraction	Itga9	TENASCIN
Col1a1	LRinteraction	Itga9	COLLAGEN
Col1a2	LRinteraction	Itga9	COLLAGEN
Col2a1	LRinteraction	Itga9	COLLAGEN
Col4a1	LRinteraction	Itga9	COLLAGEN
Col4a2	LRinteraction	Itga9	COLLAGEN
Col4a3	LRinteraction	Itga9	COLLAGEN
Col4a4	LRinteraction	Itga9	COLLAGEN
Col4a5	LRinteraction	Itga9	COLLAGEN
Col4a6	LRinteraction	Itga9	COLLAGEN
Col6a1	LRinteraction	Itga9	COLLAGEN
Col6a2	LRinteraction	Itga9	COLLAGEN
Col6a3	LRinteraction	Itga9	COLLAGEN
Col6a4	LRinteraction	Itga9	COLLAGEN
Col6a5	LRinteraction	Itga9	COLLAGEN
Col6a6	LRinteraction	Itga9	COLLAGEN
Col9a1	LRinteraction	Itga9	COLLAGEN
Col9a2	LRinteraction	Itga9	COLLAGEN
Col9a3	LRinteraction	Itga9	COLLAGEN
Lama1	LRinteraction	Itga9	LAMININ
Lama2	LRinteraction	Itga9	LAMININ
Lama3	LRinteraction	Itga9	LAMININ
Lama4	LRinteraction	Itga9	LAMININ
Lama5	LRinteraction	Itga9	LAMININ
Lamb1	LRinteraction	Itga9	LAMININ
Lamb2	LRinteraction	Itga9	LAMININ
Lamb3	LRinteraction	Itga9	LAMININ
Lamc1	LRinteraction	Itga9	LAMININ
Lamc2	LRinteraction	Itga9	LAMININ
Lamc3	LRinteraction	Itga9	LAMININ
Col1a1	LRinteraction	Itga10	COLLAGEN
Col1a2	LRinteraction	Itga10	COLLAGEN
Col2a1	LRinteraction	Itga10	COLLAGEN
Col4a1	LRinteraction	Itga10	COLLAGEN
Col4a2	LRinteraction	Itga10	COLLAGEN
Col4a3	LRinteraction	Itga10	COLLAGEN
Col4a4	LRinteraction	Itga10	COLLAGEN
Col4a5	LRinteraction	Itga10	COLLAGEN
Col4a6	LRinteraction	Itga10	COLLAGEN
Col6a1	LRinteraction	Itga10	COLLAGEN
Col6a2	LRinteraction	Itga10	COLLAGEN
Col6a3	LRinteraction	Itga10	COLLAGEN
Col6a4	LRinteraction	Itga10	COLLAGEN
Col6a5	LRinteraction	Itga10	COLLAGEN
Col6a6	LRinteraction	Itga10	COLLAGEN
Col9a1	LRinteraction	Itga10	COLLAGEN
Col9a2	LRinteraction	Itga10	COLLAGEN
Col9a3	LRinteraction	Itga10	COLLAGEN
Col1a1	LRinteraction	Itga11	COLLAGEN
Col1a2	LRinteraction	Itga11	COLLAGEN
Col2a1	LRinteraction	Itga11	COLLAGEN
Col4a1	LRinteraction	Itga11	COLLAGEN
Col4a2	LRinteraction	Itga11	COLLAGEN
Col4a3	LRinteraction	Itga11	COLLAGEN
Col4a4	LRinteraction	Itga11	COLLAGEN
Col4a5	LRinteraction	Itga11	COLLAGEN
Col4a6	LRinteraction	Itga11	COLLAGEN
Col6a1	LRinteraction	Itga11	COLLAGEN
Col6a2	LRinteraction	Itga11	COLLAGEN
Col6a3	LRinteraction	Itga11	COLLAGEN
Col6a4	LRinteraction	Itga11	COLLAGEN
Col6a5	LRinteraction	Itga11	COLLAGEN
Col6a6	LRinteraction	Itga11	COLLAGEN
Col9a1	LRinteraction	Itga11	COLLAGEN
Col9a2	LRinteraction	Itga11	COLLAGEN
Col9a3	LRinteraction	Itga11	COLLAGEN
Fn1	LRinteraction	Itgav	FN1
Vtn	LRinteraction	Itgav	VTN
Dspp	LRinteraction	Itgav	DSPP
Dspp	LRinteraction	Itgb1	DSPP
Fn1	LRinteraction	Itgb7	FN1
Fn1	LRinteraction	Itgb3	FN1
Vtn	LRinteraction	Itgb3	VTN
Vwf	LRinteraction	Itgav	VWF
Vwf	LRinteraction	Itgb3	VWF
Tnc	LRinteraction	Itgav	TENASCIN
Tnc	LRinteraction	Itgb3	TENASCIN
Tnr	LRinteraction	Itgav	TENASCIN
Tnr	LRinteraction	Itgb3	TENASCIN
Tnn	LRinteraction	Itgav	TENASCIN
Tnn	LRinteraction	Itgb3	TENASCIN
Tnxb	LRinteraction	Itgav	TENASCIN
Tnxb	LRinteraction	Itgb3	TENASCIN
Ibsp	LRinteraction	Itgav	BSP
Ibsp	LRinteraction	Itgb3	BSP
Thbs1	LRinteraction	Itgav	THBS
Thbs1	LRinteraction	Itgb3	THBS
Thbs2	LRinteraction	Itgav	THBS
Thbs2	LRinteraction	Itgb3	THBS
Thbs3	LRinteraction	Itgav	THBS
Thbs3	LRinteraction	Itgb3	THBS
Thbs4	LRinteraction	Itgav	THBS
Thbs4	LRinteraction	Itgb3	THBS
Comp	LRinteraction	Itgav	THBS
Comp	LRinteraction	Itgb3	THBS
Dmp1	LRinteraction	Itgav	DMP1
Dmp1	LRinteraction	Itgb3	DMP1
Fn1	LRinteraction	Itga2b	FN1
Vtn	LRinteraction	Itga2b	VTN
Vwf	LRinteraction	Itga2b	VWF
Tnc	LRinteraction	Itga2b	TENASCIN
Tnr	LRinteraction	Itga2b	TENASCIN
Tnn	LRinteraction	Itga2b	TENASCIN
Tnxb	LRinteraction	Itga2b	TENASCIN
Vtn	LRinteraction	Itgb5	VTN
Ibsp	LRinteraction	Itgb5	BSP
Tnc	LRinteraction	Itgb6	TENASCIN
Tnr	LRinteraction	Itgb6	TENASCIN
Tnn	LRinteraction	Itgb6	TENASCIN
Tnxb	LRinteraction	Itgb6	TENASCIN
Fn1	LRinteraction	Itgb6	FN1
Dspp	LRinteraction	Itgb6	DSPP
Vtn	LRinteraction	Itgb8	VTN
Fn1	LRinteraction	Itgb8	FN1
Lama1	LRinteraction	Itgav	LAMININ
Lama1	LRinteraction	Itgb8	LAMININ
Lama2	LRinteraction	Itgav	LAMININ
Lama2	LRinteraction	Itgb8	LAMININ
Lama3	LRinteraction	Itgav	LAMININ
Lama3	LRinteraction	Itgb8	LAMININ
Lama4	LRinteraction	Itgav	LAMININ
Lama4	LRinteraction	Itgb8	LAMININ
Lama5	LRinteraction	Itgav	LAMININ
Lama5	LRinteraction	Itgb8	LAMININ
Lamb1	LRinteraction	Itgav	LAMININ
Lamb1	LRinteraction	Itgb8	LAMININ
Lamb2	LRinteraction	Itgav	LAMININ
Lamb2	LRinteraction	Itgb8	LAMININ
Lamb3	LRinteraction	Itgav	LAMININ
Lamb3	LRinteraction	Itgb8	LAMININ
Lamc1	LRinteraction	Itgav	LAMININ
Lamc1	LRinteraction	Itgb8	LAMININ
Lamc2	LRinteraction	Itgav	LAMININ
Lamc2	LRinteraction	Itgb8	LAMININ
Lamc3	LRinteraction	Itgav	LAMININ
Lamc3	LRinteraction	Itgb8	LAMININ
Col1a1	LRinteraction	Itgav	COLLAGEN
Col1a1	LRinteraction	Itgb8	COLLAGEN
Col1a2	LRinteraction	Itgav	COLLAGEN
Col1a2	LRinteraction	Itgb8	COLLAGEN
Col2a1	LRinteraction	Itgav	COLLAGEN
Col2a1	LRinteraction	Itgb8	COLLAGEN
Col4a1	LRinteraction	Itgav	COLLAGEN
Col4a1	LRinteraction	Itgb8	COLLAGEN
Col4a2	LRinteraction	Itgav	COLLAGEN
Col4a2	LRinteraction	Itgb8	COLLAGEN
Col4a3	LRinteraction	Itgav	COLLAGEN
Col4a3	LRinteraction	Itgb8	COLLAGEN
Col4a4	LRinteraction	Itgav	COLLAGEN
Col4a4	LRinteraction	Itgb8	COLLAGEN
Col4a5	LRinteraction	Itgav	COLLAGEN
Col4a5	LRinteraction	Itgb8	COLLAGEN
Col4a6	LRinteraction	Itgav	COLLAGEN
Col4a6	LRinteraction	Itgb8	COLLAGEN
Col6a1	LRinteraction	Itgav	COLLAGEN
Col6a1	LRinteraction	Itgb8	COLLAGEN
Col6a2	LRinteraction	Itgav	COLLAGEN
Col6a2	LRinteraction	Itgb8	COLLAGEN
Col6a3	LRinteraction	Itgav	COLLAGEN
Col6a3	LRinteraction	Itgb8	COLLAGEN
Col6a4	LRinteraction	Itgav	COLLAGEN
Col6a4	LRinteraction	Itgb8	COLLAGEN
Col6a5	LRinteraction	Itgav	COLLAGEN
Col6a5	LRinteraction	Itgb8	COLLAGEN
Col6a6	LRinteraction	Itgav	COLLAGEN
Col6a6	LRinteraction	Itgb8	COLLAGEN
Col9a1	LRinteraction	Itgav	COLLAGEN
Col9a1	LRinteraction	Itgb8	COLLAGEN
Col9a2	LRinteraction	Itgav	COLLAGEN
Col9a2	LRinteraction	Itgb8	COLLAGEN
Col9a3	LRinteraction	Itgav	COLLAGEN
Col9a3	LRinteraction	Itgb8	COLLAGEN
Lama1	LRinteraction	Itgb4	LAMININ
Lama2	LRinteraction	Itgb4	LAMININ
Lama3	LRinteraction	Itgb4	LAMININ
Lama4	LRinteraction	Itgb4	LAMININ
Lama5	LRinteraction	Itgb4	LAMININ
Lamb1	LRinteraction	Itgb4	LAMININ
Lamb2	LRinteraction	Itgb4	LAMININ
Lamb3	LRinteraction	Itgb4	LAMININ
Lamc1	LRinteraction	Itgb4	LAMININ
Lamc2	LRinteraction	Itgb4	LAMININ
Lamc3	LRinteraction	Itgb4	LAMININ
Fn1	LRinteraction	Cd44	FN1
Col1a1	LRinteraction	Cd44	COLLAGEN
Col1a2	LRinteraction	Cd44	COLLAGEN
Col2a1	LRinteraction	Cd44	COLLAGEN
Col4a1	LRinteraction	Cd44	COLLAGEN
Col4a2	LRinteraction	Cd44	COLLAGEN
Col4a3	LRinteraction	Cd44	COLLAGEN
Col4a4	LRinteraction	Cd44	COLLAGEN
Col4a5	LRinteraction	Cd44	COLLAGEN
Col4a6	LRinteraction	Cd44	COLLAGEN
Col6a1	LRinteraction	Cd44	COLLAGEN
Col6a2	LRinteraction	Cd44	COLLAGEN
Col6a3	LRinteraction	Cd44	COLLAGEN
Col6a4	LRinteraction	Cd44	COLLAGEN
Col6a5	LRinteraction	Cd44	COLLAGEN
Col6a6	LRinteraction	Cd44	COLLAGEN
Col9a1	LRinteraction	Cd44	COLLAGEN
Col9a2	LRinteraction	Cd44	COLLAGEN
Col9a3	LRinteraction	Cd44	COLLAGEN
Lama1	LRinteraction	Cd44	LAMININ
Lama2	LRinteraction	Cd44	LAMININ
Lama3	LRinteraction	Cd44	LAMININ
Lama4	LRinteraction	Cd44	LAMININ
Lama5	LRinteraction	Cd44	LAMININ
Lamb1	LRinteraction	Cd44	LAMININ
Lamb2	LRinteraction	Cd44	LAMININ
Lamb3	LRinteraction	Cd44	LAMININ
Lamc1	LRinteraction	Cd44	LAMININ
Lamc2	LRinteraction	Cd44	LAMININ
Lamc3	LRinteraction	Cd44	LAMININ
Col1a1	LRinteraction	Sdc1	COLLAGEN
Col1a2	LRinteraction	Sdc1	COLLAGEN
Col2a1	LRinteraction	Sdc1	COLLAGEN
Col4a1	LRinteraction	Sdc1	COLLAGEN
Col4a2	LRinteraction	Sdc1	COLLAGEN
Col4a3	LRinteraction	Sdc1	COLLAGEN
Col4a4	LRinteraction	Sdc1	COLLAGEN
Col4a5	LRinteraction	Sdc1	COLLAGEN
Col4a6	LRinteraction	Sdc1	COLLAGEN
Col6a1	LRinteraction	Sdc1	COLLAGEN
Col6a2	LRinteraction	Sdc1	COLLAGEN
Col6a3	LRinteraction	Sdc1	COLLAGEN
Col6a4	LRinteraction	Sdc1	COLLAGEN
Col6a5	LRinteraction	Sdc1	COLLAGEN
Col6a6	LRinteraction	Sdc1	COLLAGEN
Col9a1	LRinteraction	Sdc1	COLLAGEN
Col9a2	LRinteraction	Sdc1	COLLAGEN
Col9a3	LRinteraction	Sdc1	COLLAGEN
Fn1	LRinteraction	Sdc1	FN1
Tnc	LRinteraction	Sdc1	TENASCIN
Tnr	LRinteraction	Sdc1	TENASCIN
Tnn	LRinteraction	Sdc1	TENASCIN
Tnxb	LRinteraction	Sdc1	TENASCIN
Thbs1	LRinteraction	Sdc1	THBS
Thbs2	LRinteraction	Sdc1	THBS
Thbs3	LRinteraction	Sdc1	THBS
Thbs4	LRinteraction	Sdc1	THBS
Comp	LRinteraction	Sdc1	THBS
Col1a1	LRinteraction	Sdc4	COLLAGEN
Col1a2	LRinteraction	Sdc4	COLLAGEN
Col2a1	LRinteraction	Sdc4	COLLAGEN
Col4a1	LRinteraction	Sdc4	COLLAGEN
Col4a2	LRinteraction	Sdc4	COLLAGEN
Col4a3	LRinteraction	Sdc4	COLLAGEN
Col4a4	LRinteraction	Sdc4	COLLAGEN
Col4a5	LRinteraction	Sdc4	COLLAGEN
Col4a6	LRinteraction	Sdc4	COLLAGEN
Col6a1	LRinteraction	Sdc4	COLLAGEN
Col6a2	LRinteraction	Sdc4	COLLAGEN
Col6a3	LRinteraction	Sdc4	COLLAGEN
Col6a4	LRinteraction	Sdc4	COLLAGEN
Col6a5	LRinteraction	Sdc4	COLLAGEN
Col6a6	LRinteraction	Sdc4	COLLAGEN
Col9a1	LRinteraction	Sdc4	COLLAGEN
Col9a2	LRinteraction	Sdc4	COLLAGEN
Col9a3	LRinteraction	Sdc4	COLLAGEN
Fn1	LRinteraction	Sdc4	FN1
Tnc	LRinteraction	Sdc4	TENASCIN
Tnr	LRinteraction	Sdc4	TENASCIN
Tnn	LRinteraction	Sdc4	TENASCIN
Tnxb	LRinteraction	Sdc4	TENASCIN
Thbs1	LRinteraction	Sdc4	THBS
Thbs2	LRinteraction	Sdc4	THBS
Thbs3	LRinteraction	Sdc4	THBS
Thbs4	LRinteraction	Sdc4	THBS
Comp	LRinteraction	Sdc4	THBS
Lama1	LRinteraction	Sv2a	LAMININ
Lama2	LRinteraction	Sv2a	LAMININ
Lama3	LRinteraction	Sv2a	LAMININ
Lama4	LRinteraction	Sv2a	LAMININ
Lama5	LRinteraction	Sv2a	LAMININ
Lamb1	LRinteraction	Sv2a	LAMININ
Lamb2	LRinteraction	Sv2a	LAMININ
Lamb3	LRinteraction	Sv2a	LAMININ
Lamc1	LRinteraction	Sv2a	LAMININ
Lamc2	LRinteraction	Sv2a	LAMININ
Lamc3	LRinteraction	Sv2a	LAMININ
Lama1	LRinteraction	Sv2b	LAMININ
Lama2	LRinteraction	Sv2b	LAMININ
Lama3	LRinteraction	Sv2b	LAMININ
Lama4	LRinteraction	Sv2b	LAMININ
Lama5	LRinteraction	Sv2b	LAMININ
Lamb1	LRinteraction	Sv2b	LAMININ
Lamb2	LRinteraction	Sv2b	LAMININ
Lamb3	LRinteraction	Sv2b	LAMININ
Lamc1	LRinteraction	Sv2b	LAMININ
Lamc2	LRinteraction	Sv2b	LAMININ
Lamc3	LRinteraction	Sv2b	LAMININ
Lama1	LRinteraction	Sv2c	LAMININ
Lama2	LRinteraction	Sv2c	LAMININ
Lama3	LRinteraction	Sv2c	LAMININ
Lama4	LRinteraction	Sv2c	LAMININ
Lama5	LRinteraction	Sv2c	LAMININ
Lamb1	LRinteraction	Sv2c	LAMININ
Lamb2	LRinteraction	Sv2c	LAMININ
Lamb3	LRinteraction	Sv2c	LAMININ
Lamc1	LRinteraction	Sv2c	LAMININ
Lamc2	LRinteraction	Sv2c	LAMININ
Lamc3	LRinteraction	Sv2c	LAMININ
